casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00502770,1000 Block RING ST,2023-12-14T13:14:26.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502770-001,None,None
2023-00101704,CHALKSTONE AVE,2023-12-13T17:02:00.000,12,2023,Malicious Mischief,Not Used,No violations,0,Central Station,2023-00101704-001,None,None
2023-00502762,0 Block UPDIKE,2023-12-13T09:02:44.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502762-001,None,Larceny-theft
2023-00101510,0 Block KELLEY ST,2023-12-12T22:21:48.000,12,2023,Alarm-Residental,Not Used,No Violations,0,BMacedo,2023-00101510-001,None,None
2023-00101396,MANTON AVE,2023-12-12T14:58:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2023-00101396-001,None,Larceny-theft
2023-00101368,200 Block HIGHLAND AVE,2023-12-12T12:46:53.000,12,2023,Disturbance,Not Used,No Violations,0,SPerez,2023-00101368-001,None,None
2023-00502754,PASTEUR ST,2023-12-12T08:36:44.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502754-001,None,Larceny-theft
2023-00101289,100 Block OAKLAND AVE,2023-12-12T04:05:00.000,12,2023,Shots Fired,Not Used,No Violations,0,LPrete,2023-00101289-001,None,None
2023-00502751,CHARLES ST,2023-12-11T18:07:51.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502751-001,None,Larceny-theft
2023-00101188,0 Block KENNEDY,2023-12-11T16:04:15.000,12,2023,Disturbance,Not Used,No violations,0,AElie,2023-00101188-001,None,None
2023-00101160,MANTON AVENUE,2023-12-11T14:03:00.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00101160-001,None,None
2023-00100930,0 Block OAKLAND AVE,2023-12-10T14:42:30.000,12,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,LPrete,2023-00100930-001,None,None
2023-00502744,0 Block EXCHANGE TER,2023-12-10T11:51:48.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502744-001,None,None
2023-00100850,FRIENDSHIP ST,2023-12-10T03:00:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,Central Station,2023-00100850-001,None,Larceny-theft
2023-00502741,0 Block RUGBY,2023-12-09T22:59:56.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia,2023-00502741-001,None,Larceny-theft
2023-00100666,SPRUCE ST,2023-12-09T17:14:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00100666-001,None,Larceny-theft
2023-00100660,100 Block SABIN ST,2023-12-09T16:44:12.000,12,2023,Suspicious Person,Not Used,No Violations,0,CMain,2023-00100660-001,None,None
2023-00100517,BROADWAY  &  SERVICE 7 RD,2023-12-09T02:26:00.000,12,2023,Reckless and Eluding,Not Used,No Violations,0,JPrimiano,2023-00100517-001,None,None
2023-00100497,0 Block COURTLAND ST,2023-12-09T01:23:00.000,12,2023,Request for Assistance,Not Used,No violations,0,BAucoin,2023-00100497-001,None,None
2023-00100313,400 Block PARK AV,2023-12-08T15:08:00.000,12,2023,Request for Assistance,Not Used,No violations,0,TManzotti,2023-00100313-001,None,None
2023-00502729,600 Block PAWTUCKET AVE,2023-12-07T20:50:43.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502729-001,None,Larceny-theft
2023-00502728,600 Block PAWTUCKET AVE,2023-12-07T20:32:54.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502728-001,None,None
2023-00502723,0 Block PORTER AVE,2023-12-07T13:24:41.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502723-001,None,None
