casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00093085,PARK ST,2023-11-11T22:30:13.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MDuffy,2023-00093085-001,None,Larceny-theft
2023-00093053,100 Block SABIN ST,2023-11-11T20:14:00.000,11,2023,Disturbance,Not Used,No Violations,0,DAnderson,2023-00093053-001,None,None
2023-00093025,FRANCIS ST  &  AMERICAN EXPRESS PL,2023-11-11T18:29:41.000,11,2023,Traffic Violation,31-26-2,Duty to Stop in Accidents Resulting in Damage to Attended Vehicles,1,FLopez,2023-00093025-001,None,None
2023-00092994,DUDLEY ST,2023-11-11T16:21:00.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00092994-001,None,None
2023-00092790,100 Block CLEVELAND ST,2023-11-10T23:20:00.000,11,2023,"Assault, Simple",11-5-1,ASSAULT W/ INTENT TO COMMIT A FELONY - MINOR INJURY,1,DSanchez,2023-00092790-001,None,None
2023-00092790,100 Block CLEVELAND ST,2023-11-10T23:20:00.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DSanchez,2023-00092790-002,None,None
2023-00502530,600 Block PAWTUCKET AVE AVE,2023-11-09T22:02:07.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502530-001,None,Larceny-theft
2023-00092428,SILVERLAKE AREA,2023-11-09T18:01:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2023-00092428-001,None,Larceny-theft
2023-00092330,100 Block LAURA HILL AVE,2023-11-09T12:32:49.000,11,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JLugo,2023-00092330-001,None,Larceny-theft
2023-00091833,100 Block OAKLAND AVE,2023-11-07T15:59:00.000,11,2023,Malicious Mischief,Not Used,No violations,0,Central Station,2023-00091833-001,None,None
2023-00502514,ADELAIDE AVE,2023-11-06T20:28:22.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502514-001,None,None
2023-00502509,100 Block HIGHLAND AVE,2023-11-06T10:31:05.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502509-001,None,Larceny-theft
2023-00091441,0 Block WAYLAND AVE,2023-11-06T09:11:00.000,11,2023,Request for Assistance,Not Used,No Violations,0,DSepe,2023-00091441-001,None,None
2023-00091396,100 Block OAKLAND AVE,2023-11-06T02:52:40.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,STeran,2023-00091396-001,None,None
2023-00091366,POE ST &  BAY ST,2023-11-05T23:38:00.000,11,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,MPetteruto,2023-00091366-001,None,None
2023-00091288,0 Block FINANCE WAY,2023-11-05T17:24:03.000,11,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,CMain,2023-00091288-001,None,None
2023-00502505,PARK ST,2023-11-05T11:12:47.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502505-001,None,None
2023-00091200,100 Block SABIN ST,2023-11-05T09:02:00.000,11,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,GSlater,2023-00091200-001,None,Larceny-theft
2023-00091166,100 Block SABIN ST,2023-11-05T02:15:39.000,11,2023,Suspicious Person,Not Used,No Violations,0,NLaFazia,2023-00091166-001,None,None
2023-00502504,CLIFFORD ST,2023-11-05T01:33:03.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502504-001,None,Larceny-theft
2023-00502503,100 Block ELM,2023-11-05T00:09:58.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502503-001,None,Larceny-theft
2023-00090940,0 Block LONGFELLOW TER,2023-11-04T15:14:29.000,11,2023,Disturbance,Not Used,No Violations,0,MKelley,2023-00090940-001,None,None
2023-00090924,100 Block FREEMAN PKY,2023-11-04T13:25:40.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MRudolph,2023-00090924-001,None,Larceny-theft
2023-00502501,UNK,2023-11-04T13:01:26.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502501-001,None,None
2023-00090730,FINANCE WAY &  FRANCIS ST,2023-11-03T20:20:00.000,11,2023,Disturbance,Not Used,No Violations,0,CSimanski,2023-00090730-001,None,None
2023-00090660,100 Block SABIN ST,2023-11-03T16:36:00.000,11,2023,Suspicious Person,Not Used,No Violations,0,ACalle,2023-00090660-001,None,None
2023-00090651,300 Block BROADWAY,2023-11-03T16:23:45.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MLeclerc,2023-00090651-001,None,Larceny-theft
2023-00502496,900 Block CHARLES,2023-11-03T16:06:28.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502496-001,None,Larceny-theft
2023-00502489,0 Block ASH BURN,2023-11-03T10:05:03.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502489-001,None,None
2023-00090414,0 Block RANDALL ST,2023-11-02T21:30:00.000,11,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,LGarcia Colon,2023-00090414-001,None,None
2023-00502487,FRIENDSHIP STREET,2023-11-02T19:52:39.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502487-001,None,Larceny-theft
2023-00502485,0 Block SECOND AVE,2023-11-02T12:37:01.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502485-001,None,Larceny-theft
2023-00502476,STREET,2023-11-01T20:31:25.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502476-001,None,Larceny-theft
2023-00090072,BROAD ST,2023-11-01T15:52:00.000,11,2023,Suspicious Person,Not Used,No violations,0,Central Station,2023-00090072-001,None,None
2023-00090064,DYER ST,2023-11-01T15:27:00.000,11,2023,Malicious Mischief,Not Used,No violations,0,Central Station,2023-00090064-001,None,None
2023-00502472,PETTIS ST,2023-11-01T11:43:09.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502472-001,None,None
2023-00502470,BLACKSTONE ST,2023-11-01T10:48:30.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502470-001,None,Larceny-theft
2023-00089961,100 Block SANDRINGHAM AVE,2023-11-01T08:21:35.000,11,2023,Property Damage,Not Used,No Violations,0,KWoodbine,2023-00089961-001,None,None
2023-00089934,UNKNOWN,2023-11-01T04:35:33.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KBaxter,2023-00089934-001,None,None
2023-00089692,BELLEVUE AVE,2023-10-31T09:55:00.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00089692-001,None,None
2023-00089687,500 Block BROADWAY,2023-10-31T09:19:00.000,10,2023,Tresspassing,11-44-26,WILLFUL TRESPASS,1,INerney,2023-00089687-001,None,None
2023-00502463,0 Block EAGLE AT,2023-10-30T19:56:48.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502463-001,None,None
2023-00089509,PROVIDENCE,2023-10-30T15:38:00.000,10,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00089509-001,None,None
2023-00089490,FRANCIS ST &  MEMORIAL BLVD,2023-10-30T14:27:00.000,10,2023,Traffic Violation,31-11-18.1,"Driving after Denial, Revocation or Suspension for Misd.",1,JO,2023-00089490-001,None,None
2023-00089455,ERNEST ST,2023-10-30T12:10:00.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00089455-001,None,Larceny-theft
2023-00089427,0 Block ROGER WILLIAMS GRN,2023-10-30T09:13:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,PSaravia,2023-00089427-001,None,Larceny-theft
2023-00089422,0 Block NICHOLAS BROWN YARDS,2023-10-30T09:13:09.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,PSaravia,2023-00089422-001,None,None
2023-00502456,0 Block N CORLISS,2023-10-30T06:07:02.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502456-001,None,None
2023-00502454,CLADRASTIS AVE & MAPLE AVE,2023-10-29T21:43:05.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502454-001,None,Larceny-theft
2023-00502452,100 Block REEDSDALE RD,2023-10-29T19:15:44.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502452-001,None,Larceny-theft
2023-00089286,0 Block COURTLAND ST,2023-10-29T17:13:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DWilson,2023-00089286-001,None,None
2023-00089251,RATHBONE ST,2023-10-29T15:02:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00089251-001,None,None
2023-00089243,CLIFFORD STREET,2023-10-29T14:30:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00089243-001,None,None
2023-00089244,0 Block DESOSTO ST. ST,2023-10-29T14:07:05.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,ABrodeur,2023-00089244-001,None,None
2023-00089180,E FRANKLIN ST & CLIFFORD ST,2023-10-29T07:29:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MSheridan,2023-00089180-001,None,None
2023-00089168,100 Block SABIN ST,2023-10-29T06:46:10.000,10,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,CFernandez,2023-00089168-001,None,None
2023-00089140,0 Block PLEASANT VALLEY,2023-10-29T03:38:42.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DPalumbo,2023-00089140-001,None,None
2023-00502449,NORTH MAIN ST,2023-10-29T03:12:49.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502449-001,None,None
2023-00089122,WEYBOSSET ST,2023-10-29T02:58:54.000,10,2023,Assistance Rendered,Not Used,No Violations,0,MKelley,2023-00089122-001,None,None
2023-00502448,NORTH MAIN ST,2023-10-29T02:58:32.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502448-001,None,None
2023-00088955,100 Block CLEVELAND ST,2023-10-28T20:46:00.000,10,2023,Suspicious Person,Not Used,No Violations,0,MPetteruto,2023-00088955-001,None,None
2023-00088947,UNION AVE,2023-10-28T20:09:00.000,10,2023,Request for Assistance,Not Used,No violations,0,Central Station,2023-00088947-001,None,None
2023-00502444,CLIFFORD ST,2023-10-28T17:30:34.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502444-001,None,None
2023-00502440,CLIFFORD ST,2023-10-28T12:53:02.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502440-001,None,None
2023-00502439,FC GREEN MEMORIAL BLVD,2023-10-28T11:50:38.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502439-001,None,None
2023-00502434,0 Block W CANAL ST,2023-10-27T23:59:21.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502434-001,None,None
2023-00502432,POCCASETT,2023-10-27T23:27:30.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502432-001,None,Larceny-theft
2023-00502430,0 Block SUSAN AVE,2023-10-27T22:58:52.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502430-001,None,None
2023-00502426,NORTH MAIN ST,2023-10-27T22:14:50.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502426-001,None,None
2023-00502425,PINE HILL AVE,2023-10-27T22:00:15.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502425-001,None,Larceny-theft
2023-00502421,F C GREENE MEMORIAL BLVD BLVD,2023-10-27T21:25:28.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502421-001,None,None
2023-00502419,UNIÓN ELERY,2023-10-27T20:31:42.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502419-001,None,Larceny-theft
2023-00502408,LINCOLN AVE,2023-10-27T08:45:03.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502408-001,None,None
2023-00502406,CLADRASTIS AVE  &  MAPLE AVE AVE,2023-10-27T00:36:58.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502406-001,None,Larceny-theft
2023-00088086,0 Block RICOM WAY,2023-10-26T11:07:44.000,10,2023,Breaking and Entering,Not Used,No violations,0,SSesay,2023-00088086-001,None,Burglary
2023-00087970,0 Block STANDISH AVE,2023-10-25T21:11:00.000,10,2023,RI Statute Violation,11-59-3,VIOLATION OF RESTRAINING ORDER,1,Central Station,2023-00087970-001,None,None
2023-00502395,ASHBURN ST,2023-10-24T23:16:01.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502395-001,None,None
2023-00087530,200 Block O'CONNELL ST,2023-10-24T10:41:01.000,10,2023,Request for Assistance,Not Used,No Violations,0,RSanchez,2023-00087530-001,None,None
2023-00502385,0 Block CAPITOL HILL RD,2023-10-23T12:16:49.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502385-001,None,None
2023-00502384,SHERWOOD ST,2023-10-23T11:39:00.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502384-001,None,None
2023-00087220,LEGION MEMORIAL PARK,2023-10-23T10:10:10.000,10,2023,Assistance Rendered,Not Used,No Violations,0,MKelley,2023-00087220-001,None,None
2023-00087177,0 Block ANDEM ST,2023-10-23T07:36:00.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,KBass,2023-00087177-001,None,Motor Vehicle Theft
2023-00502380,0 Block THOMAS  ONLEY COMMON,2023-10-22T19:45:45.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502380-001,None,Larceny-theft
2023-00502377,PINE,2023-10-22T11:48:05.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502377-001,None,Larceny-theft
2023-00086968,0 Block ROGER WILLIAMS GREEN,2023-10-22T10:53:43.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THE,1,TGomes,2023-00086968-001,None,Motor Vehicle Theft
2023-00502370,PARK ST,2023-10-21T22:19:04.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502370-001,None,None
2023-00502366,ELM ST,2023-10-21T12:05:42.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502366-001,None,Larceny-theft
2023-00502358,CANAL ST,2023-10-20T23:42:56.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502358-001,None,None
2023-00502357,CANAL ST,2023-10-20T22:45:34.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502357-001,None,Larceny-theft
2023-00086011,300 Block OCONNOR ST,2023-10-19T11:39:00.000,10,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,KRosado,2023-00086011-001,None,Larceny-theft
2023-00085977,WALDO STREET,2023-10-19T09:04:00.000,10,2023,Prostitution,Not Used,"Under Investigation, Offense Pending",0,ECuri,2023-00085977-001,None,None
2023-00502346,FRANCIS ST,2023-10-18T21:12:41.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502346-001,None,Larceny-theft
2023-00085825,0 Block BOWLET ST,2023-10-18T17:19:00.000,10,2023,Auto Towed,Not Used,Parking or MV Violation,0,MPetteruto,2023-00085825-001,None,None
2023-00085700,0 Block CROYLAND RD,2023-10-18T10:32:44.000,10,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,RSanchez,2023-00085700-001,None,Burglary
2023-00085544,300 Block BROADWAY,2023-10-17T19:34:00.000,10,2023,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,NAyala,2023-00085544-001,Robbery,None
2023-00085520,PAVILLION AVE,2023-10-17T18:16:00.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station,2023-00085520-001,None,Motor Vehicle Theft
2023-00085385,WEYBOSSET ST,2023-10-17T10:53:00.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,2023-00085385-001,None,Larceny-theft
2023-00085318,0 Block CHARLESFIED ST,2023-10-17T02:39:35.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,JIkuejamofo,2023-00085318-001,None,Larceny-theft
2023-00502327,100 Block WASHIGHTON ST,2023-10-16T13:38:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502327-001,None,None
2023-00502326,100 Block UNION,2023-10-16T13:13:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502326-001,None,None
2023-00085102,BODELL AVE,2023-10-16T11:36:00.000,10,2023,Request for Assistance,Not Used,No Violations,0,Central Station,2023-00085102-001,None,None
2023-00502324,0 Block OAKLAND AVE,2023-10-16T11:24:11.000,10,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia,2023-00502324-001,None,None
2023-00502322,GREENE ST,2023-10-16T11:14:32.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502322-001,None,None
2023-00502321,SPRAGUE ST,2023-10-16T10:08:50.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502321-001,None,None
2023-00084949,0 Block NICHOLAS BROWN YARDS,2023-10-15T17:47:59.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,LGarcia Colon,2023-00084949-001,None,Motor Vehicle Theft
2023-00502315,TROY STREET,2023-10-15T15:47:04.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502315-001,None,None
2023-00502305,0 Block BROADWAY ST,2023-10-15T09:42:54.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502305-001,None,None
2023-00084816,0 Block OAKLAND AVE,2023-10-15T04:13:00.000,10,2023,Receiving Stolen Property,31-9-2,Possession of Stolen Vehicle or Parts,1,AWagoner,2023-00084816-001,None,None
2023-00084795,WASHINGTON ST,2023-10-15T02:52:00.000,10,2023,RI Statute Violation,36-M,DAMAGED VEHICLE,1,Central Station,2023-00084795-001,None,None
2023-00084771,0 Block LONGFELLOW TER,2023-10-15T01:44:00.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,AFrancis,2023-00084771-001,None,None
2023-00502310,300 Block CANAL ST,2023-10-14T23:19:49.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502310-001,None,None
2023-00502309,F C GREENE MEMORIAL BLVD,2023-10-14T23:17:11.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502309-001,None,None
2023-00084703,ATWELLS AVE,2023-10-14T22:42:00.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,2023-00084703-001,None,Larceny-theft
2023-00084698,ROSE AVE,2023-10-14T22:21:00.000,10,2023,Property Damage,Not Used,No violations,0,Central Station,2023-00084698-001,None,None
2023-00502308,ELMWOOD AVE,2023-10-14T21:56:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502308-001,None,Larceny-theft
2023-00502307,NATURAL HISTORY AVE,2023-10-14T21:51:42.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502307-001,None,None
2023-00084687,300 Block BROADWAY,2023-10-14T21:21:00.000,10,2023,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,NAyala,2023-00084687-001,Robbery,None
2023-00502297,1200 Block SMITH,2023-10-14T09:28:13.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502297-001,None,None
2023-00502296,0 Block THOMAS AVE,2023-10-13T21:58:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502296-001,None,Larceny-theft
2023-00502311,100 Block BENEFIT,2023-10-13T10:57:32.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502311-001,None,Larceny-theft
2023-00502291,300 Block BROADWAY,2023-10-13T07:27:31.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502291-001,None,None
2023-00502290,0 Block CARR,2023-10-12T22:35:04.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502290-001,None,Larceny-theft
2023-00083882,8000 Block CHALKSTONE AVENUE,2023-10-12T09:46:00.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2023-00083882-001,None,None
2023-00083839,0 Block RICOM WAY,2023-10-12T06:30:00.000,10,2023,Suspicious Person,Not Used,No Violations,0,DSepe,2023-00083839-001,None,None
2023-00502279,100 Block WASHINGON ST,2023-10-11T12:31:44.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502279-001,None,Larceny-theft
2023-00502276,JOHNSON & WALES UNIVERSITY,2023-10-10T22:24:27.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502276-001,None,None
2023-00083094,300 Block BROADWAY,2023-10-09T16:45:00.000,10,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,Central Station,2023-00083094-001,None,Motor Vehicle Theft
2023-00083046,0 Block CRANDALL ST,2023-10-09T13:18:20.000,10,2023,Traffic Violation,31-9-3,Injuring or Tampering with Vehicles,1,VWilcox,2023-00083046-001,None,None
2023-00083015,0 Block KELLEY ST,2023-10-09T11:31:23.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JCortorreal,2023-00083015-001,None,None
2023-00502264,FRANCIS ST,2023-10-08T18:11:41.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502264-001,None,None
2023-00502260,0 Block ALMY,2023-10-08T08:09:33.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502260-001,None,Larceny-theft
2023-00502259,0 Block WESCOTT AVE,2023-10-07T15:24:01.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502259-001,None,None
2023-00082452,0 Block E GERORGE ST,2023-10-07T13:43:15.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,CFernandez,2023-00082452-001,None,Larceny-theft
2023-00502256,ELM STREET,2023-10-07T10:51:15.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502256-001,None,None
2023-00502254,ELM ST,2023-10-07T09:44:03.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502254-001,None,None
2023-00082283,100 Block OAKLAND AVE,2023-10-07T00:27:15.000,10,2023,Auto Towed,Not Used,Parking or MV Violation,0,NColicci,2023-00082283-001,None,None
2023-00082101,0 Block VANDEWATER ST,2023-10-06T16:12:00.000,10,2023,Request for Assistance,Not Used,No Violations,0,MLabutti,2023-00082101-001,None,None
2023-00082081,0 Block GRAND ST,2023-10-06T15:18:00.000,10,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,ESoloman,2023-00082081-001,None,None
2023-00081871,UNION AVE  &  SERVICE RD,2023-10-05T23:19:47.000,10,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,KBaxter,2023-00081871-001,None,None
2023-00081830,0 Block PLEASANT VALLEY PKY,2023-10-05T20:20:37.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RSanchez,2023-00081830-001,None,None
2023-00081633,100 Block ANGEL ST,2023-10-05T08:16:00.000,10,2023,Alarm-Residental,Not Used,No Violations,0,GPereira,2023-00081633-001,None,None
2023-00502236,100 Block PUMGANSETT,2023-10-04T20:29:21.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,2023-00502236-001,None,Larceny-theft
2023-00081492,ATWELLS AVE,2023-10-04T19:38:00.000,10,2023,Stolen Property,Not Used,No violations,0,Central Station,2023-00081492-001,None,None
2023-00502234,100 Block CHARLES,2023-10-04T18:37:45.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2023-00502234-001,None,Larceny-theft
2023-00502232,ADELAIDE ST,2023-10-04T14:10:04.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502232-001,None,None
2023-00502229,200 Block NE PARK AVE,2023-10-04T11:04:01.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502229-001,None,Larceny-theft
