casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00092671,BLACKSTONE ST &  BROAD ST,2023-11-10T16:18:00.000,11,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,TJones,,
2023-00502530,600 Block PAWTUCKET AVE AVE,2023-11-09T22:02:07.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00092330,100 Block LAURA HILL AVE,2023-11-09T12:32:49.000,11,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JLugo,,
2023-00091833,100 Block OAKLAND AVE,2023-11-07T15:59:00.000,11,2023,Malicious Mischief,Not Used,No violations,0,Central Station,,
2023-00502509,100 Block HIGHLAND AVE,2023-11-06T10:31:05.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00091441,0 Block WAYLAND AVE,2023-11-06T09:11:00.000,11,2023,Request for Assistance,Not Used,No Violations,0,DSepe,,
2023-00091396,100 Block OAKLAND AVE,2023-11-06T02:52:40.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,STeran,,
2023-00091288,0 Block FINANCE WAY,2023-11-05T17:24:03.000,11,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,CMain,,
2023-00091200,100 Block SABIN ST,2023-11-05T09:02:00.000,11,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,GSlater,,
2023-00091166,100 Block SABIN ST,2023-11-05T02:15:39.000,11,2023,Suspicious Person,Not Used,No Violations,0,NLaFazia,,
2023-00502503,100 Block ELM,2023-11-05T00:09:58.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00090940,0 Block LONGFELLOW TER,2023-11-04T15:14:29.000,11,2023,Disturbance,Not Used,No Violations,0,MKelley,,
2023-00090924,100 Block FREEMAN PKY,2023-11-04T13:25:40.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MRudolph,,
2023-00502501,UNK,2023-11-04T13:01:26.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00090660,100 Block SABIN ST,2023-11-03T16:36:00.000,11,2023,Suspicious Person,Not Used,No Violations,0,ACalle,,
2023-00090651,300 Block BROADWAY,2023-11-03T16:23:45.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MLeclerc,,
2023-00502496,900 Block CHARLES,2023-11-03T16:06:28.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00502489,0 Block ASH BURN,2023-11-03T10:05:03.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00090414,0 Block RANDALL ST,2023-11-02T21:30:00.000,11,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,LGarcia Colon,,
2023-00502485,0 Block SECOND AVE,2023-11-02T12:37:01.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00502476,STREET,2023-11-01T20:31:25.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00089961,100 Block SANDRINGHAM AVE,2023-11-01T08:21:35.000,11,2023,Property Damage,Not Used,No Violations,0,KWoodbine,,
2023-00089934,UNKNOWN,2023-11-01T04:35:33.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,KBaxter,,
2023-00089687,500 Block BROADWAY,2023-10-31T09:19:00.000,10,2023,Tresspassing,11-44-26,WILLFUL TRESPASS,1,INerney,,
2023-00502463,0 Block EAGLE AT,2023-10-30T19:56:48.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00089509,PROVIDENCE,2023-10-30T15:38:00.000,10,2023,Request for Assistance,Not Used,No violations,0,Central Station,,
2023-00089427,0 Block ROGER WILLIAMS GRN,2023-10-30T09:13:50.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,PSaravia,,
2023-00089422,0 Block NICHOLAS BROWN YARDS,2023-10-30T09:13:09.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,PSaravia,,
