casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00502075,100 Block CLEVELAND ST,2023-09-15T10:10:42.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00502071,0 Block MARKET ST,2023-09-14T19:50:24.000,9,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,,
2023-00502069,100 Block ONTARIO,2023-09-14T14:46:50.000,9,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00075097,100 Block OAKLAND AVE,2023-09-14T10:20:00.000,9,2023,"Fraud, Welfare",40-6-16,FRAUDULENT USE OF FOOD STAMPS/U $500,1,Central Station,,
2023-00502068,0 Block PEMBROKE RD,2023-09-14T09:07:14.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00075029,0 Block FONES ALY,2023-09-14T01:13:00.000,9,2023,City Ordinance Violation,Not Used,No Violations,0,DIamarone,,
2023-00074904,0 Block PEMBROKE ST,2023-09-13T15:27:47.000,9,2023,Request for Assistance,Not Used,No Violations,0,JBenros,,
2023-00502060,0 Block VANDEWATER,2023-09-13T09:04:32.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00502059,0 Block DE PENIDO ST,2023-09-13T08:25:39.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00074766,0 Block PLEASANT VALLEY PKY,2023-09-13T06:00:30.000,9,2023,Auto Towed,Not Used,Parking or MV Violation,0,LPrete,,
2023-00074730,0 Block OAKLAND AVE,2023-09-13T00:30:00.000,9,2023,Animal Bite,Not Used,No violations,0,Central Station,,
2023-00074581,HARTFORD AVE &  ATWOOD ST,2023-09-12T15:06:00.000,9,2023,Property Damage,Not Used,No violations,0,Central Station,,
2023-00502054,0 Block TOBEY,2023-09-12T10:25:31.000,9,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00074473,0 Block HANDY ST,2023-09-12T07:48:55.000,9,2023,Burglary,11-8-1,BURGLARY,1,PSaravia,,
2023-00074438,0 Block COURTLAND ST,2023-09-12T02:28:43.000,9,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,CCabral,,
2023-00502048,100 Block CALVERLEY  ST ST,2023-09-11T18:06:30.000,9,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00074303,300 Block BROADWAY,2023-09-11T14:50:00.000,9,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,NAyala,,
2023-00074221,0 Block CANDACE ST,2023-09-11T11:30:00.000,9,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,,
2023-00074170,0 Block ROSEMONT TER,2023-09-11T08:02:24.000,9,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,KBaxter,,
2023-00074073,100 Block RANDALL ST,2023-09-10T20:54:00.000,9,2023,Disturbance,Not Used,No violations,0,PHourahan,,
2023-00074068,0 Block OLMSTEAD WAY,2023-09-10T19:51:00.000,9,2023,Suspicious Person,Not Used,No Violations,0,IQuinn,,
2023-00073806,100 Block OAKLAND AVE,2023-09-10T03:06:00.000,9,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,JGuiot,,
2023-00502025,MELROSE AVE,2023-09-09T08:48:40.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00073457,0 Block PLEASANT VALLEY PKY,2023-09-09T05:52:00.000,9,2023,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,RSavage,,
2023-00073217,0 Block ROSEMONT TER,2023-09-08T14:30:00.000,9,2023,Larceny from Building,11-41-6,ATTEMPTED LARCENY/U $1500 - FROM BLD,1,ALima,,
2023-00073210,0 Block PLEASANT VALLEY PKY,2023-09-08T14:16:00.000,9,2023,Auto Towed,Not Used,Parking or MV Violation,0,FTavares,,
2023-00072977,100 Block OAKLAND AVE,2023-09-07T18:28:29.000,9,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,JBenros,,
2023-00502016,N & A,2023-09-07T15:07:52.000,9,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00072523,0 Block THOMAS OLNEY COMMONS,2023-09-06T11:23:27.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,JMadeira,,
2023-00072173,700 Block PLAINFIELD AVE,2023-09-05T11:30:05.000,9,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,JLugo,,
2023-00502004,0 Block SILVER LAKE ST,2023-09-05T10:58:17.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00072084,0 Block EXCHANGE TER,2023-09-05T03:34:00.000,9,2023,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,LFerreras,,
2023-00072084,0 Block EXCHANGE TER,2023-09-05T03:34:00.000,9,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,LFerreras,,
2023-00072084,0 Block EXCHANGE TER,2023-09-05T03:34:00.000,9,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,LFerreras,,
2023-00071982,0 Block BOWLET ST,2023-09-04T20:07:00.000,9,2023,Breaking and Entering,Not Used,"Under Investigation, Offense Pending",0,MPetteruto,,
2023-00071911,0 Block PASTEUR,2023-09-04T15:43:40.000,9,2023,Suspicious Person,Not Used,No Violations,0,SCerullo,,
2023-00071768,0 Block OF THE ARTS,2023-09-04T00:57:00.000,9,2023,Robbery,11-39-1,ROBBERY-1ST DEGREE,1,IBarbosa,,
2023-00501978,100 Block GEORGE M COHAN BLVD,2023-09-01T09:31:20.000,9,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JGreeno,,
2023-00070519,100 Block SABIN ST,2023-08-31T17:02:00.000,8,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,CSimanski,,
2023-00501970,0 Block RUTLAND ST,2023-08-31T12:13:47.000,8,2023,Property Damage,Not Used,No Violations,0,NField,,
2023-00501966,0 Block JULIAN,2023-08-30T20:48:16.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00070218,0 Block OF THE ARTS,2023-08-30T17:54:21.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,CMain,,
2023-00070155,0 Block VASSAR ST,2023-08-30T14:02:33.000,8,2023,Property Damage,Not Used,No violations,0,TGomes,,
2023-00069851,0 Block PLEASANT VALLEY,2023-08-29T15:02:01.000,8,2023,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,RRaso,,
2023-00069754,0 Block WHELAND RD,2023-08-29T09:49:11.000,8,2023,Auto Towed,Not Used,Parking or MV Violation,0,CVingi,,
2023-00069731,0 Block PORTLAND ST,2023-08-29T08:19:00.000,8,2023,Trespass,Not Used,No Violations,0,ASantos,,
2023-00069592,0 Block DI MARIO DR,2023-08-28T19:16:00.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MLabutti,,
2023-00069512,100 Block OAKLAND AVE,2023-08-28T15:31:20.000,8,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,IQuinn,,
2023-00069229,4800 Block LIEGE ST,2023-08-27T17:06:32.000,8,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,SCerullo,,
2023-00501929,100 Block ANGEL ST,2023-08-25T19:39:02.000,8,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,,
2023-00068526,0 Block RANDALL ST,2023-08-25T19:14:00.000,8,2023,Request for Assistance,Not Used,No Violations,0,LGarcia Colon,,
2023-00068490,0 Block CANDACE ST,2023-08-25T17:19:00.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MLabutti,,
2023-00501924,100 Block CHATHAM,2023-08-25T09:24:37.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00068109,500 Block BROADWAY,2023-08-24T11:54:00.000,8,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,LPelaez,,
2023-00068012,400 Block PLEASANT VALLEY PKY,2023-08-24T01:26:00.000,8,2023,"Assault,Simple",Not Used,"Under Investigation, Offense Pending",0,AIn,,
2023-00067972,600 Block S WATER,2023-08-23T22:54:00.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,DPalumbo,,
2023-00067607,0 Block DARTMOUTH ST,2023-08-22T22:26:47.000,8,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,SSage,,
2023-00067442,0 Block KELLEY ST,2023-08-22T12:26:00.000,8,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,NEastman,,
2023-00067195,0 Block PORTLAND ST,2023-08-21T15:20:00.000,8,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,Central Station,,
2023-00067190,0 Block FINANCE WAY,2023-08-21T15:02:23.000,8,2023,Warrant\Capias,BWARRANT-6D,BENCH WARRANT ISSUED FROM 6TH DISTRICT COURT,1,DTejada,,
2023-00501897,0 Block FAIRBANKS,2023-08-21T14:08:11.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00066950,100 Block CUMBERLAND ST,2023-08-20T21:08:00.000,8,2023,Request for Assistance,Not Used,No Violations,0,RFernandes,,
2023-00501886,100 Block BATH,2023-08-20T15:35:48.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501883,200 Block JEWETT,2023-08-20T10:53:45.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501881,0 Block SALMON,2023-08-20T09:16:11.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00065914,0 Block THOMAS SPANN WAY,2023-08-17T18:52:00.000,8,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,TSavard,,
2023-00065818,0 Block FINANCE WAY,2023-08-17T13:56:00.000,8,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,DTejada,,
2023-00501862,100 Block OAKLAND AVE,2023-08-17T12:22:50.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00065441,100 Block BROADWAY,2023-08-16T10:18:00.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,,
2023-00064140,0 Block KELLEY ST,2023-08-12T10:32:00.000,8,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,DRosso,,
2023-00064140,0 Block KELLEY ST,2023-08-12T10:32:00.000,8,2023,Burglary,11-8-2.3,B&E DWELLING OF PERSON OVER 60,1,DRosso,,
2023-00064119,0 Block EXCHANGE TER,2023-08-12T08:10:00.000,8,2023,Dispersals,Not Used,No Violations,0,MHames,,
2023-00501823,400 Block ELM ST,2023-08-12T03:18:40.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00501820,0 Block 104 OAKLAND AVENUE,2023-08-11T20:36:56.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00063512,200 Block BROADWAY,2023-08-10T12:19:00.000,8,2023,Auto Towed,Not Used,Parking or MV Violation,0,DSepe,,
2023-00063486,100 Block CLEVELAND ST,2023-08-10T10:47:00.000,8,2023,Assistance Rendered,Not Used,No Violations,0,MAddai,,
2023-00501804,300 Block CORLISS ST,2023-08-09T19:33:46.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00063053,0 Block KELLEY ST,2023-08-08T17:29:00.000,8,2023,Tresspassing,11-44-26,WILLFUL TRESPASS,1,MFigueroa,,
2023-00501789,0 Block EXCHANGE TER,2023-08-07T10:48:39.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00062632,0 Block PLEASANT VALLEY,2023-08-07T00:01:32.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,GSans-Souci,,
2023-00062470,100 Block RANDALL ST,2023-08-06T15:35:00.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,PHourahan,,
2023-00062186,0 Block RUTLAND ST,2023-08-05T21:08:00.000,8,2023,Responding To Disturbance,Not Used,No Violations,0,DMartinez,,
2023-00501783,0 Block HARRIET,2023-08-05T19:56:54.000,8,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,NField,,
2023-00501782,0 Block LUONGO SQ,2023-08-05T13:20:15.000,8,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00061717,0 Block EXCHANGE TER,2023-08-04T15:19:00.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JAntoniou,,
2023-00061468,400 Block BROADWAY,2023-08-03T16:53:00.000,8,2023,"Fraud, Impersonation",11-41-4,OBT. MONEY-FALSE PRETENSE/PERSONATION/U $1500 - IMPERSONATION,1,Central Station,,
2023-00061345,0 Block ROGER WILLIAMS GRN,2023-08-03T07:44:00.000,8,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KPoplaski,,
2023-00501767,0 Block PROVIDENCE,2023-08-02T17:10:24.000,8,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00501758,100 Block CONGDON CT,2023-08-01T17:53:48.000,8,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00060749,0 Block OAKLAND AVE,2023-08-01T03:38:00.000,8,2023,Suspicious Person,Not Used,No Violations,0,DPalumbo,,
2023-00060532,0 Block WISDOM ST,2023-07-31T10:30:44.000,7,2023,"Assault,Simple",Not Used,"Under Investigation, Offense Pending",0,KWilliams,,
2023-00501744,0 Block BERLIN,2023-07-31T06:22:12.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JGreeno,,
2023-00060121,0 Block COURTLAND STREET ST,2023-07-30T04:30:47.000,7,2023,Request for Assistance,Not Used,No violations,0,BAucoin,,
2023-00501738,0 Block NICHOLAS BROWN YARDS,2023-07-29T17:48:59.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00059733,0 Block PORTLAND ST,2023-07-29T00:00:00.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,Central Station,,
2023-00501733,"100 Block CALVERLEY ST, PROVIDENCE, ST",2023-07-28T22:45:08.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501727,200 Block OAKLAND AVE,2023-07-28T15:26:22.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,,
2023-00059306,0 Block FINANCE WAY,2023-07-27T13:55:00.000,7,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,CCurrier,,
2023-00059086,0 Block OAKLAND AVE,2023-07-26T19:25:00.000,7,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,EBreault,,
2023-00059065,0 Block OAKLAND AVE,2023-07-26T18:07:19.000,7,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JBenros,,
2023-00059065,0 Block OAKLAND AVE,2023-07-26T18:07:19.000,7,2023,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,JBenros,,
2023-00058762,1500 Block ELMWOOD,2023-07-25T16:46:00.000,7,2023,Malicious Mischief,Not Used,No violations,0,Central Station,,
2023-00058646,400 Block BROADWAY,2023-07-25T09:27:00.000,7,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,INerney,,
2023-00501701,0 Block NEWCOMB,2023-07-24T18:10:35.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia,,
2023-00058142,0 Block PLEASANT VALLEY PKY,2023-07-23T16:10:00.000,7,2023,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,IQuinn,,
2023-00058050,0 Block OAKLAND AVE,2023-07-23T09:31:00.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,LRamalho,,
2023-00501686,0 Block OSBORN,2023-07-22T09:45:38.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,,
2023-00057491,0 Block PLEASANT VALLEY PKY,2023-07-21T16:55:00.000,7,2023,Suspicious Person,Not Used,No Violations,0,MLabutti,,
2023-00057422,0 Block EXCHANGE TER,2023-07-21T14:27:00.000,7,2023,Property Damage,Not Used,No Violations,0,CMain,,
2023-00057358,400 Block BROADWAY,2023-07-21T09:31:00.000,7,2023,"Fraud, Swindle",19-9-29,BANK FRAUD,3,RMoroney,,
2023-00057358,400 Block BROADWAY,2023-07-21T09:31:00.000,7,2023,Forgery,11-17-1,FORGERY AND COUNTERFEITING IN GENERAL,1,RMoroney,,
2023-00057184,0 Block RANGLEY ST,2023-07-20T17:25:08.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,ELane,,
2023-00057041,0 Block BOWLET ST,2023-07-20T09:25:00.000,7,2023,Assistance Rendered,Not Used,No Violations,0,JPerez,,
2023-00501667,100 Block HOPE,2023-07-19T17:23:41.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00056743,100 Block OAKLAND AVE,2023-07-19T11:47:00.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,,
2023-00056732,100 Block PECK ST,2023-07-19T10:50:28.000,7,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MGammino,,
2023-00056729,0 Block WARREN WAY,2023-07-19T10:37:55.000,7,2023,Auto Fire,Not Used,No Violations,0,WPognon,,
2023-00056446,0 Block RANDALL ST,2023-07-18T15:05:00.000,7,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,Central Station,,
2023-00056422,500 Block BROADWAY,2023-07-18T13:07:00.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,,
2023-00501651,500 Block BROADWAY,2023-07-18T01:17:55.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00501649,0 Block CROMWELL AVE,2023-07-17T18:30:19.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501643,0 Block PROVIDENCE PI,2023-07-17T10:51:27.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00056005,0 Block VANDEWATER ST,2023-07-17T02:27:00.000,7,2023,Disturbance,Not Used,No Violations,0,LPrete,,
2023-00501636,500 Block ANGELL  STREET ST,2023-07-16T16:19:51.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00055479,0 Block LEANDER ST,2023-07-15T15:43:00.000,7,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,JMontano,,
2023-00055436,0 Block EXCHANGE TER,2023-07-15T12:40:00.000,7,2023,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,2,VLopez,,
2023-00055405,100 Block OAKLAND AVE,2023-07-15T10:08:00.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,,
2023-00055377,800 Block ACADEMY AVE,2023-07-15T06:37:24.000,7,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,JWagnac,,
2023-00501627,200 Block NW CLIFFORD ST,2023-07-15T00:43:16.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00054818,0 Block PROVIDENCEPLACE MALL,2023-07-13T14:29:46.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,JDeschamps,,
2023-00054703,0 Block CITIZENS PL,2023-07-13T06:32:39.000,7,2023,Disturbance,Not Used,No violations,0,ADaCruz,,
2023-00054664,300 Block BROADWAY,2023-07-13T00:28:00.000,7,2023,Request for Assistance,Not Used,No Violations,0,JMontano,,
2023-00054174,200 Block PULASKI STREET,2023-07-10T15:00:00.000,7,2023,Narcotics Violation,Not Used,No violations,0,JDesmarais,,
2023-00053811,0 Block OAKLAND AVE,2023-07-10T01:04:36.000,7,2023,Shots Fired,Not Used,No Violations,0,JWagnac,,
2023-00053632,0 Block CRANDALL ST,2023-07-09T12:53:32.000,7,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,MLabutti,,
2023-00053539,0 Block CANDACE ST,2023-07-09T02:44:00.000,7,2023,Disorderly Conduct,11-30-8,ENTRY BY POLICE OFFICERS OF PREMISES,1,ABrodeur,,
2023-00501580,600 Block N NO. MAIN STREET ST,2023-07-08T17:29:14.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00501567,100 Block CLEVELAND ST,2023-07-07T00:21:07.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00501566,100 Block OAKLAND AVE,2023-07-06T22:46:03.000,7,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501562,400 Block BLACKSTONE BOULEVARD BLVD,2023-07-06T11:12:49.000,7,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00051980,0 Block BONANZA WAY,2023-07-04T15:18:00.000,7,2023,Assistance Rendered,Not Used,No Violations,0,PHourahan,,
2023-00051924,400 Block PLAINFIELD AVE,2023-07-04T12:15:54.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JLugo,,
2023-00051835,0 Block RANDALL ST,2023-07-04T01:17:00.000,7,2023,Alarm-Business,Not Used,No Violations,0,YCaba,,
2023-00501534,500 Block BROADWAY,2023-07-03T08:23:50.000,7,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00051115,200 Block OAKLAND AVENUE AVE,2023-07-01T20:57:04.000,7,2023,Suspicious Person,Not Used,No violations,0,BAucoin,,
2023-00050727,0 Block RANDALL ST,2023-06-30T19:28:00.000,6,2023,Animal Bite,Not Used,No violations,0,PHourahan,,
2023-00501520,400 Block ANGELL,2023-06-30T16:25:42.000,6,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00050480,0 Block EXCHANGE TER,2023-06-29T23:15:00.000,6,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,YCaba,,
2023-00050480,0 Block EXCHANGE TER,2023-06-29T23:15:00.000,6,2023,"Larceny, Other",11-41-7,LARCENY FROM THE PERSON - ALL OTH LARCENY,1,YCaba,,
2023-00050248,2000 Block RIVER AVE,2023-06-29T10:15:00.000,6,2023,Request for Assistance,Not Used,No violations,0,Central Station,,
2023-00501507,300 Block WAYLAND AVE,2023-06-28T11:13:12.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00049950,0 Block THOMAS SPANN WAY,2023-06-28T09:24:00.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,TCalandra,,
2023-00501503,0 Block WASHINGTON,2023-06-27T22:14:56.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00049653,0 Block CRANDALL ST,2023-06-27T09:23:59.000,6,2023,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,,
2023-00501488,0 Block HAROLD,2023-06-26T17:34:49.000,6,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00049524,0 Block VANDEWATER ST,2023-06-26T17:26:05.000,6,2023,Request for Assistance,Not Used,No Violations,0,IQuinn,,
2023-00501481,0 Block KENWOOD,2023-06-26T06:41:06.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00501476,100 Block DORRANCE,2023-06-25T18:34:08.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00049094,0 Block EXCHANGE TER,2023-06-25T03:34:00.000,6,2023,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,RByfield,,
2023-00049094,0 Block EXCHANGE TER,2023-06-25T03:34:00.000,6,2023,DUI,31-27-2.1,Chemical Test Refusal,1,RByfield,,
2023-00501465,200 Block CHAD BROWN,2023-06-24T16:50:36.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00048718,600 Block RESERVOIR AVE,2023-06-24T01:37:14.000,6,2023,"Assault,Felony",Not Used,"Under Investigation, Offense Pending",0,DCarias,,
2023-00048708,0 Block PLEASANT VALLEY PKY,2023-06-24T01:19:00.000,6,2023,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,SCampbell,,
2023-00048534,200 Block BROADWAY,2023-06-23T16:37:00.000,6,2023,Request for Assistance,Not Used,No violations,0,Central Station,,
2023-00501454,100 Block SUMTER,2023-06-22T21:58:07.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00048172,1600 Block HAMILTON,2023-06-22T12:15:00.000,6,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,,
2023-00048012,500 Block BROADWAY,2023-06-21T19:23:00.000,6,2023,Auto Towed,Not Used,Parking or MV Violation,0,KHeron,,
2023-00047968,200 Block BROADWAY,2023-06-21T16:37:00.000,6,2023,Breaking and Entering,Not Used,"Under Investigation, Offense Pending",0,VLopez,,
2023-00501442,0 Block COURTLAND ST,2023-06-21T13:38:33.000,6,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00047840,100 Block STANDISH AVE,2023-06-21T08:56:08.000,6,2023,Motor Vehicle Theft,Not Used,"Under Investigation, Offense Pending",0,YGonzalez,,
