casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00101119,0 Block BARROWS ST,2023-12-11T11:07:52.000,12,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,SPerez,2023-00101119-001,41.81153639050004,-71.45647920799996,E911,None,None
2023-00101112,HOPE ST &  BOWEN ST,2023-12-11T10:28:00.000,12,2023,Traffic Violation,31-21-4,Parking or MV Violation,1,DGirard,2023-00101112-001,41.83091353979133,-71.39922333860957,RIDOT,None,None
2023-00101108,0 Block STEUBEN ST,2023-12-11T10:18:00.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,Central Station,2023-00101108-001,41.82393474950004,-71.44958727699995,E911,None,Larceny-theft
2023-00502748,300 Block SHIPYARD ST,2023-12-11T09:49:05.000,12,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502748-001,41.78848532550006,-71.39034518749997,E911,None,None
2023-00101104,0 Block HUXLEY AVE,2023-12-11T09:43:01.000,12,2023,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,2023-00101104-001,41.839587754000064,-71.43407614199995,E911,None,None
2023-00101100,300 Block BLACKSTONE BLVD,2023-12-11T09:18:49.000,12,2023,Request for Assistance,Not Used,No Violations,0,TGomes,2023-00101100-001,41.84559520150006,-71.38325713699996,E911,None,None
2023-00101097,0 Block MARION AVE,2023-12-11T09:07:05.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MChasse,2023-00101097-001,41.78718255500007,-71.40493563949997,E911,None,Larceny-theft
2023-00101095,300 Block RESERVOIR AVE,2023-12-11T08:56:25.000,12,2023,"Larceny, Other",11-41-1,LARCENY/O $1500 - ALL OTH LARCENY,1,ADeschamps,2023-00101095-001,41.78836697350005,-71.43137185799998,E911,None,Larceny-theft
2023-00101094,0 Block ELMWOOD AVE,2023-12-11T08:55:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LFernandez,2023-00101094-001,41.81150755750005,-71.42366175549995,E911,None,None
2023-00101072,0 Block W PARK ST,2023-12-11T07:04:38.000,12,2023,Larceny from Building,11-41-1,LARCENY/U $1500 - FROM BLD,1,JLanier,2023-00101072-001,41.83141526000003,-71.41961573399996,E911,None,Larceny-theft
