casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2024-00002108,200 Block HANOVER ST,2024-01-09T11:23:00.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,EEspinal,2024-00002108-001,41.809138977500055,-71.43285290849997,E911,None,None
2024-00002106,100 Block BROAD ST,2024-01-09T11:13:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2024-00002106-001,41.81743972350006,-71.41676518499997,E911,None,None
2024-00002103,400 Block DOUGLAS AVE,2024-01-09T11:03:00.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,Central Station,2024-00002103-001,41.842693669000056,-71.42778424599996,E911,None,Motor Vehicle Theft
2024-00002089,100 Block JULIAN ST,2024-01-09T09:42:00.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,DRosso,2024-00002089-001,41.82315241850006,-71.44504605149999,E911,None,Motor Vehicle Theft
2024-00002066,700 Block WESTMINSTER ST,2024-01-09T07:07:00.000,1,2024,Trespass,Not Used,No Violations,0,MCamardo,2024-00002066-001,41.81810416000005,-71.42039248699999,E911,None,None
2024-00002065,300 Block ORMS ST,2024-01-09T06:52:00.000,1,2024,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,MVoyer,2024-00002065-001,41.83329817250004,-71.42405271399997,E911,None,None
2024-00002059,0 Block DORRANCE ST,2024-01-09T05:00:12.000,1,2024,Trespass,Not Used,No Violations,0,JGuiot,2024-00002059-001,41.82381659250004,-71.41228919699995,E911,None,None
2024-00002033,0 Block HARTFORD AVE,2024-01-08T23:56:00.000,1,2024,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,NEastman,2024-00002033-001,41.81766357600006,-71.44588237449994,E911,None,None
2024-00500053,400 Block ADMIRAL ST,2024-01-08T23:39:46.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2024-00500053-001,41.84644062600003,-71.43123703999998,E911,None,Larceny-theft
2024-00002024,200 Block WEBSTER AVE,2024-01-08T22:29:08.000,1,2024,Request for Assistance,Not Used,No Violations,0,SPerez,2024-00002024-001,41.80842508950005,-71.44803762399997,E911,None,None
2024-00002004,100 Block DEPASQUALE AVE,2024-01-08T20:47:00.000,1,2024,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,MAndrade,2024-00002004-001,41.822256905000074,-71.42585720399998,E911,None,None
2024-00002004,100 Block DEPASQUALE AVE,2024-01-08T20:47:00.000,1,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,MAndrade,2024-00002004-002,41.822256905000074,-71.42585720399998,E911,None,None
2024-00500052,0 Block DRESSER ST,2024-01-08T20:14:22.000,1,2024,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2024-00500052-001,41.81999666050004,-71.45840053999996,E911,None,None
2024-00001989,BROAD ST &  STEWART ST,2024-01-08T20:07:00.000,1,2024,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,TJones,2024-00001989-001,41.81691741807599,-71.41794586543078,RIDOT,None,None
2024-00001976,TORONTO AVE &  TENNESSEE AVE,2024-01-08T18:54:00.000,1,2024,Weapons,11-47-8-A,LICENSE OR PERMIT REQUIRED FOR CARRYING PISTOL,1,WSherrill,2024-00001976-001,41.793079372341836,-71.39514160599359,RIDOT,None,None
2024-00001976,TORONTO AVE &  TENNESSEE AVE,2024-01-08T18:54:00.000,1,2024,Weapons,11-47-42,WEAPONS OTHER THAN FIREARMS PROHIBITED,1,WSherrill,2024-00001976-002,41.793079372341836,-71.39514160599359,RIDOT,None,None
2024-00001976,TORONTO AVE &  TENNESSEE AVE,2024-01-08T18:54:00.000,1,2024,Weapons,11-47.1-3,Large capacity feeding devices prohibited,2,WSherrill,2024-00001976-003,41.793079372341836,-71.39514160599359,RIDOT,None,None
2024-00001971,0 Block TORONTO AVE,2024-01-08T18:25:00.000,1,2024,Request for Assistance,Not Used,No Violations,0,JMota,2024-00001971-001,41.793064679000054,-71.39538099749996,E911,None,None
2024-00001967,400 Block PUBLIC ST,2024-01-08T18:04:00.000,1,2024,Suspicious Person,Not Used,No Violations,0,DHernandez Martinez,2024-00001967-001,41.80528945550003,-71.41673232299996,E911,None,None
2024-00001960,1400 Block BROAD ST,2024-01-08T17:30:00.000,1,2024,Stolen Vehicle\Recovered,Not Used,No Violations,0,JMota,2024-00001960-001,41.78781546900004,-71.40282369549996,E911,None,None
2024-00001959,0 Block EAST DR,2024-01-08T17:26:00.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,SMarmas,2024-00001959-001,41.85237729600007,-71.44296266699996,E911,None,None
2024-00500051,0 Block SLIVER SPRING ST,2024-01-08T17:13:40.000,1,2024,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2024-00500051-001,41.82058164850005,-71.43281656949995,E911,None,None
2024-00001954,0 Block PROVIDENCE PL,2024-01-08T16:53:53.000,1,2024,Suspicious Person,Not Used,No Violations,0,CMain,2024-00001954-001,41.827849931500054,-71.41595903999996,E911,None,None
2024-00001944,0 Block OBEDIAH BROWN RD,2024-01-08T15:58:00.000,1,2024,Breaking and Entering,Not Used,"Under Investigation, Offense Pending",0,ALima,2024-00001944-001,41.834710415000046,-71.46178642199996,E911,None,Burglary
2024-00001921,0 Block DIXON ST,2024-01-08T14:03:45.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,JCotugno,2024-00001921-001,41.78003117500006,-71.41984012399996,E911,None,None
2024-00001915,HAROLD ST &  VALLEY ST,2024-01-08T13:39:21.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,CVingi,2024-00001915-001,41.82689665986322,-71.4375534157715,RIDOT,None,None
2024-00001913,100 Block SUPERIOR ST,2024-01-08T13:18:00.000,1,2024,House Fire,Not Used,No Violations,0,DSepe,2024-00001913-001,41.81045330750004,-71.43304099899996,E911,None,None
2024-00001912,100 Block MAGNOLIA ST,2024-01-08T13:16:00.000,1,2024,Fraud,Not Used,"Under Investigation, Offense Pending",0,SMurnighan,2024-00001912-001,41.81297751000005,-71.44689194999998,E911,None,None
2024-00001900,500 Block CRANSTON ST,2024-01-08T12:35:00.000,1,2024,Warrant\Capias,BWARRANT-SC,BENCH WARRANT ISSUED FROM SUPERIOR COURT,1,VLopez,2024-00001900-001,41.80845960500005,-71.43429839599995,E911,None,None
2024-00500048,0 Block PROVIDENCE PL MALL,2024-01-08T11:55:33.000,1,2024,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,2024-00500048-001,41.827849931500054,-71.41595903999996,E911,None,Larceny-theft
2024-00001876,200 Block PLAINFIELD ST,2024-01-08T10:22:29.000,1,2024,Motor Vehicle Theft,11-41-1,LARCENY/U $1500 - AUTO THEFT,1,JLugo,2024-00001876-001,41.81414633500003,-71.44724976549995,E911,None,Motor Vehicle Theft
2024-00001856,500 Block ACADEMY AVE,2024-01-08T08:53:20.000,1,2024,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,2024-00001856-001,41.83983075900005,-71.44496148399998,E911,None,None
